Campaign budget analysis data export
"February 11, 2022 - November 10, 2025"
Campaign,Day,Campaign ID,Budget,Clicks,Impr.,Currency code,Cost,CTR,Avg. CPC,Conversions
Valmark Cityville | Search | 25 Nov 22,2022-12-11,19038490303,5000.00,0,3,INR,0.00,0.00%,0,0.00
SBR Minara | Search | 28 Nov 22,2022-12-11,19068825589,5000.00,2,2,INR,370.68,100.00%,185.34,0.00
Birla Apple Spire | Search | 28 Nov 22,2022-12-11,19070991764,4381.50,1,2,INR,289.48,50.00%,289.48,0.00
SBR Pravanika | Search | 25 Nov 22,2022-12-12,19031976471,2000.00,0,0,INR,0.00,0,0,0.00
Valmark Cityville | Search | 25 Nov 22,2022-12-12,19038490303,5000.00,0,0,INR,0.00,0,0,0.00
SBR Minara | Search | 28 Nov 22,2022-12-12,19068825589,5000.00,0,0,INR,0.00,0,0,0.00
Birla Apple Spire | Search | 28 Nov 22,2022-12-12,19070991764,4381.50,0,0,INR,0.00,0,0,0.00
SBR Pravanika | Search | 25 Nov 22,2022-12-13,19031976471,2000.00,4,27,INR,539.41,14.81%,134.85,2.53
Valmark Cityville | Search | 25 Nov 22,2022-12-13,19038490303,5000.00,46,828,INR,4844.70,5.56%,105.32,17.40
SBR Minara | Search | 28 Nov 22,2022-12-13,19068825589,5000.00,11,94,INR,1151.46,11.70%,104.68,5.07
Birla Apple Spire | Search | 28 Nov 22,2022-12-13,19070991764,4381.50,0,16,INR,0.00,0.00%,0,0.00
SBR Pravanika | Search | 25 Nov 22,2022-12-14,19031976471,2000.00,5,47,INR,1361.94,10.64%,272.39,1.00
Valmark Cityville | Search | 25 Nov 22,2022-12-14,19038490303,5000.00,23,394,INR,2784.03,5.84%,121.04,1.00
SBR Minara | Search | 28 Nov 22,2022-12-14,19068825589,5000.00,33,172,INR,3959.80,19.19%,119.99,7.00
Birla Apple Spire | Search | 28 Nov 22,2022-12-14,19070991764,4381.50,3,40,INR,2324.18,7.50%,774.73,1.00
SBR Pravanika | Search | 25 Nov 22,2022-12-15,19031976471,2000.00,2,44,INR,241.26,4.55%,120.63,0.00
Valmark Cityville | Search | 25 Nov 22,2022-12-15,19038490303,5000.00,14,143,INR,2358.29,9.79%,168.45,0.00
SBR Minara | Search | 28 Nov 22,2022-12-15,19068825589,5000.00,20,139,INR,2827.19,14.39%,141.36,3.00
Birla Apple Spire | Search | 28 Nov 22,2022-12-15,19070991764,4381.50,19,250,INR,8762.74,7.60%,461.20,0.00
SBR Pravanika | Search | 25 Nov 22,2022-12-16,19031976471,2000.00,7,50,INR,1870.42,14.00%,267.20,4.19
Valmark Cityville | Search | 25 Nov 22,2022-12-16,19038490303,5000.00,19,186,INR,6144.38,10.22%,323.39,6.83
SBR Minara | Search | 28 Nov 22,2022-12-16,19068825589,5000.00,20,141,INR,2493.56,14.18%,124.68,10.97
Birla Apple Spire | Search | 28 Nov 22,2022-12-16,19070991764,4381.50,25,203,INR,8762.96,12.32%,350.52,0.00
SBR Pravanika | Search | 25 Nov 22,2022-12-17,19031976471,2000.00,3,44,INR,482.65,6.82%,160.88,0.00
Valmark Cityville | Search | 25 Nov 22,2022-12-17,19038490303,5000.00,22,187,INR,8955.36,11.76%,407.06,1.43
SBR Minara | Search | 28 Nov 22,2022-12-17,19068825589,5000.00,46,185,INR,5095.84,24.86%,110.78,9.57
Birla Apple Spire | Search | 28 Nov 22,2022-12-17,19070991764,4381.50,37,445,INR,8818.94,8.31%,238.35,2.00
SBR Pravanika | Search | 25 Nov 22,2022-12-18,19031976471,2000.00,4,55,INR,749.39,7.27%,187.35,4.00
Valmark Cityville | Search | 25 Nov 22,2022-12-18,19038490303,5000.00,28,164,INR,9994.83,17.07%,356.96,4.00
SBR Minara | Search | 28 Nov 22,2022-12-18,19068825589,5000.00,40,190,INR,4882.55,21.05%,122.06,5.00
Birla Apple Spire | Search | 28 Nov 22,2022-12-18,19070991764,4381.50,27,284,INR,8760.37,9.51%,324.46,1.00
SBR Pravanika | Search | 25 Nov 22,2022-12-19,19031976471,2000.00,3,47,INR,1295.59,6.38%,431.86,0.00
Valmark Cityville | Search | 25 Nov 22,2022-12-19,19038490303,5000.00,24,127,INR,8576.46,18.90%,357.35,2.00
SBR Minara | Search | 28 Nov 22,2022-12-19,19068825589,5000.00,43,203,INR,6554.36,21.18%,152.43,6.00
Birla Apple Spire | Search | 28 Nov 22,2022-12-19,19070991764,4381.50,31,327,INR,8762.98,9.48%,282.68,2.00
SBR Pravanika | Search | 25 Nov 22,2022-12-20,19031976471,2000.00,4,38,INR,516.12,10.53%,129.03,0.00
Valmark Cityville | Search | 25 Nov 22,2022-12-20,19038490303,5000.00,6,71,INR,4518.58,8.45%,753.10,1.00
SBR Minara | Search | 28 Nov 22,2022-12-20,19068825589,5000.00,28,172,INR,6333.30,16.28%,226.19,1.00
Birla Apple Spire | Search | 28 Nov 22,2022-12-20,19070991764,4381.50,34,243,INR,8762.84,13.99%,257.73,1.00
SBR Pravanika | Search | 25 Nov 22,2022-12-21,19031976471,2000.00,0,10,INR,0.00,0.00%,0,0.00
Valmark Cityville | Search | 25 Nov 22,2022-12-21,19038490303,5000.00,2,7,INR,1783.54,28.57%,891.77,0.00
SBR Minara | Search | 28 Nov 22,2022-12-21,19068825589,5000.00,3,15,INR,747.08,20.00%,249.03,0.00
SBR Pravanika | Search | 25 Nov 22,2022-12-22,19031976471,2000.00,1,41,INR,368.06,2.44%,368.06,0.00
Valmark Cityville | Search | 25 Nov 22,2022-12-22,19038490303,5000.00,3,57,INR,2011.43,5.26%,670.48,0.00
SBR Pravanika | Search | 25 Nov 22,2022-12-23,19031976471,2000.00,6,41,INR,1242.61,14.63%,207.10,0.00
Valmark Cityville | Search | 25 Nov 22,2022-12-23,19038490303,5000.00,10,113,INR,7985.55,8.85%,798.56,1.00
SBR Pravanika | Search | 25 Nov 22,2022-12-24,19031976471,2000.00,18,63,INR,2343.85,28.57%,130.21,5.00
Valmark Cityville | Search | 25 Nov 22,2022-12-24,19038490303,5000.00,14,94,INR,8683.87,14.89%,620.28,8.00
SBR Pravanika | Search | 25 Nov 22,2022-12-25,19031976471,2000.00,6,41,INR,665.67,14.63%,110.95,0.00
Valmark Cityville | Search | 25 Nov 22,2022-12-25,19038490303,5000.00,12,80,INR,5848.85,15.00%,487.40,0.00
SBR Pravanika | Search | 25 Nov 22,2022-12-26,19031976471,2000.00,4,56,INR,789.95,7.14%,197.49,0.00
Valmark Cityville | Search | 25 Nov 22,2022-12-26,19038490303,5000.00,2,13,INR,898.33,15.38%,449.17,1.00
SBR Pravanika | Search | 25 Nov 22,2022-12-27,19031976471,2000.00,6,68,INR,1576.08,8.82%,262.68,1.00
K: SBR Minara 21/12/22,2022-12-27,19329480875,800.00,0,0,INR,0.00,0,0,0.00
SBR Pravanika | Search | 25 Nov 22,2022-12-28,19031976471,2000.00,4,60,INR,1601.56,6.67%,400.39,0.00
K: SBR Minara 21/12/22,2022-12-28,19329480875,800.00,191,850,INR,1604.02,22.47%,8.40,11.00
SBR Pravanika | Search | 25 Nov 22,2022-12-29,19031976471,2000.00,9,71,INR,1307.62,12.68%,145.29,1.00
K: SBR Minara 21/12/22,2022-12-29,19329480875,800.00,174,784,INR,1597.38,22.19%,9.18,23.00
SBR Pravanika | Search | 25 Nov 22,2022-12-30,19031976471,2000.00,4,62,INR,196.96,6.45%,49.24,1.00
K: SBR Minara 21/12/22,2022-12-30,19329480875,800.00,183,913,INR,1595.17,20.04%,8.72,13.00
SBR Pravanika | Search | 25 Nov 22,2022-12-31,19031976471,2000.00,3,35,INR,145.78,8.57%,48.59,0.00
K: SBR Minara 21/12/22,2022-12-31,19329480875,800.00,26,283,INR,223.55,9.19%,8.60,2.00
SBR Pravanika | Search | 25 Nov 22,2023-01-01,19031976471,2000.00,8,36,INR,377.00,22.22%,47.13,4.00
K: SBR Minara 21/12/22,2023-01-01,19329480875,800.00,91,475,INR,784.77,19.16%,8.62,8.00
SBR Pravanika | Search | 25 Nov 22,2023-01-02,19031976471,2000.00,6,38,INR,278.44,15.79%,46.41,0.00
K: SBR Minara 21/12/22,2023-01-02,19329480875,800.00,39,196,INR,305.04,19.90%,7.82,1.00
SBR Pravanika | Search | 25 Nov 22,2023-01-03,19031976471,2000.00,4,46,INR,196.61,8.70%,49.15,1.00
K: SBR Minara 21/12/22,2023-01-03,19329480875,800.00,63,328,INR,422.14,19.21%,6.70,5.00
SBR Pravanika | Search | 25 Nov 22,2023-01-04,19031976471,2000.00,5,35,INR,247.86,14.29%,49.57,0.00
K: SBR Minara 21/12/22,2023-01-04,19329480875,800.00,170,"1,047",INR,1277.70,16.24%,7.52,37.00
SBR Pravanika | Search | 25 Nov 22,2023-01-05,19031976471,2000.00,3,34,INR,149.35,8.82%,49.78,0.00
K: SBR Minara 21/12/22,2023-01-05,19329480875,800.00,27,242,INR,183.45,11.16%,6.79,1.00
SBR Pravanika | Search | 25 Nov 22,2023-01-06,19031976471,2000.00,9,53,INR,412.83,16.98%,45.87,5.00
K: SBR Minara 21/12/22,2023-01-06,19329480875,800.00,9,58,INR,42.18,15.52%,4.69,2.00
SBR Pravanika | Search | 25 Nov 22,2023-01-07,19031976471,2000.00,6,58,INR,290.95,10.34%,48.49,0.00
K: SBR Minara 21/12/22,2023-01-07,19329480875,800.00,167,683,INR,1604.81,24.45%,9.61,29.00
SBR Pravanika | Search | 25 Nov 22,2023-01-08,19031976471,2000.00,6,49,INR,240.94,12.24%,40.16,2.00
K: SBR Minara 21/12/22,2023-01-08,19329480875,800.00,175,"1,098",INR,1599.88,15.94%,9.14,12.00
SBR Pravanika | Search | 25 Nov 22,2023-01-09,19031976471,2000.00,5,57,INR,238.27,8.77%,47.65,0.00
K: SBR Minara 21/12/22,2023-01-09,19329480875,800.00,131,696,INR,1088.79,18.82%,8.31,13.00
SBR Pravanika | Search | 25 Nov 22,2023-01-10,19031976471,2000.00,6,49,INR,286.59,12.24%,47.77,0.00
K: SBR Minara 21/12/22,2023-01-10,19329480875,800.00,76,620,INR,786.03,12.26%,10.34,9.00
SBR Pravanika | Search | 25 Nov 22,2023-01-11,19031976471,2000.00,11,42,INR,460.57,26.19%,41.87,2.00
K: SBR Minara 21/12/22,2023-01-11,19329480875,800.00,3,48,INR,21.55,6.25%,7.18,0.00
SBR Pravanika | Search | 25 Nov 22,2023-01-12,19031976471,2000.00,4,46,INR,181.21,8.70%,45.30,0.00
K: SBR Minara 21/12/22,2023-01-12,19329480875,800.00,0,1,INR,0.00,0.00%,0,0.00
SBR Pravanika | Search | 25 Nov 22,2023-01-13,19031976471,2000.00,3,34,INR,146.11,8.82%,48.70,0.00
K: SBR Minara 21/12/22,2023-01-13,19329480875,800.00,1,10,INR,7.86,10.00%,7.86,0.00
SBR Pravanika | Search | 25 Nov 22,2023-01-14,19031976471,2000.00,8,36,INR,345.64,22.22%,43.21,0.00
K: SBR Minara 21/12/22,2023-01-14,19329480875,800.00,0,12,INR,0.00,0.00%,0,0.00
SBR Pravanika | Search | 25 Nov 22,2023-01-15,19031976471,2000.00,10,59,INR,420.29,16.95%,42.03,3.00
K: SBR Minara 21/12/22,2023-01-15,19329480875,800.00,0,1,INR,0.00,0.00%,0,0.00
SBR Pravanika | Search | 25 Nov 22,2023-01-16,19031976471,2000.00,8,65,INR,388.06,12.31%,48.51,1.00
K: SBR Minara 21/12/22,2023-01-16,19329480875,800.00,0,12,INR,0.00,0.00%,0,0.00
SBR Pravanika | Search | 25 Nov 22,2023-01-17,19031976471,2000.00,6,64,INR,255.89,9.38%,42.65,2.00
K: SBR Minara 21/12/22,2023-01-17,19329480875,800.00,1,10,INR,4.19,10.00%,4.19,0.00
SBR Pravanika | Search | 25 Nov 22,2023-01-18,19031976471,2000.00,5,44,INR,239.75,11.36%,47.95,0.00
K: SBR Minara 21/12/22,2023-01-18,19329480875,800.00,0,5,INR,0.00,0.00%,0,0.00
SBR Pravanika | Search | 25 Nov 22,2023-01-19,19031976471,2000.00,6,40,INR,258.33,15.00%,43.06,1.00
SBR Pravanika | Search | 25 Nov 22,2023-01-20,19031976471,2000.00,8,58,INR,306.12,13.79%,38.27,1.00
SBR Pravanika | Search | 25 Nov 22,2023-01-21,19031976471,2000.00,1,37,INR,39.87,2.70%,39.87,0.00
SBR Pravanika | Search | 25 Nov 22,2023-01-22,19031976471,2000.00,5,74,INR,203.14,6.76%,40.63,0.00
SBR Pravanika | Search | 25 Nov 22,2023-01-23,19031976471,2000.00,7,69,INR,326.00,10.14%,46.57,1.00
SBR Pravanika | Search | 25 Nov 22,2023-01-24,19031976471,2000.00,1,46,INR,17.64,2.17%,17.64,0.00
SBR Pravanika | Search | 25 Nov 22,2023-01-25,19031976471,2000.00,2,49,INR,85.04,4.08%,42.52,0.00
SBR Pravanika | Search | 25 Nov 22,2023-01-26,19031976471,2000.00,9,64,INR,441.39,14.06%,49.04,1.00
SBR Pravanika | Search | 25 Nov 22,2023-01-27,19031976471,2000.00,7,60,INR,301.13,11.67%,43.02,0.00
SBR Pravanika | Search | 25 Nov 22,2023-01-28,19031976471,2000.00,9,69,INR,438.32,13.04%,48.70,0.00
SBR Pravanika | Search | 25 Nov 22,2023-01-29,19031976471,2000.00,1,1,INR,44.22,100.00%,44.22,0.00
SBR Pravanika | Search | 25 Nov 22,2023-01-30,19031976471,2000.00,6,35,INR,210.67,17.14%,35.11,1.00
SBR Pravanika | Search | 25 Nov 22,2023-01-31,19031976471,2000.00,4,70,INR,125.66,5.71%,31.42,0.00
SBR Pravanika | Search | 25 Nov 22,2023-02-01,19031976471,2000.00,7,49,INR,307.32,14.29%,43.90,2.00
Cedar string Search,2023-02-01,19639804724,4000.00,26,"1,219",INR,1784.02,2.13%,68.62,1.00
SBR Pravanika | Search | 25 Nov 22,2023-02-02,19031976471,2000.00,2,27,INR,97.45,7.41%,48.73,1.00
Cedar string Search,2023-02-02,19639804724,4000.00,241,"7,121",INR,14632.41,3.38%,60.72,4.00
SBR Pravanika | Search | 25 Nov 22,2023-02-03,19031976471,2000.00,5,45,INR,244.30,11.11%,48.86,0.00
Cedar string Search,2023-02-03,19639804724,4000.00,127,"4,484",INR,4734.68,2.83%,37.28,2.00
SBR Pravanika | Search | 25 Nov 22,2023-02-04,19031976471,2000.00,10,70,INR,478.02,14.29%,47.80,1.00
Cedar string Search,2023-02-04,19639804724,4000.00,191,"7,738",INR,4033.17,2.47%,21.12,0.00
SBR Pravanika | Search | 25 Nov 22,2023-02-05,19031976471,2000.00,11,116,INR,538.93,9.48%,48.99,0.00
Cedar string Search,2023-02-05,19639804724,4000.00,169,"6,709",INR,4350.59,2.52%,25.74,4.00
SBR Pravanika | Search | 25 Nov 22,2023-02-06,19031976471,2000.00,9,53,INR,441.66,16.98%,49.07,0.00
Cedar string Search,2023-02-06,19639804724,4000.00,94,"2,387",INR,4321.12,3.94%,45.97,0.00
SBR Pravanika | Search | 25 Nov 22,2023-02-07,19031976471,2000.00,6,84,INR,276.10,7.14%,46.02,0.00
Cedar string Search,2023-02-07,19639804724,4000.00,47,921,INR,2238.69,5.10%,47.63,1.00
SBR Pravanika | Search | 25 Nov 22,2023-02-08,19031976471,2000.00,13,61,INR,633.66,21.31%,48.74,4.00
Cedar string Search,2023-02-08,19639804724,4000.00,37,560,INR,2196.63,6.61%,59.37,1.00
SBR Pravanika | Search | 25 Nov 22,2023-02-09,19031976471,2000.00,6,43,INR,289.44,13.95%,48.24,0.00
SBR Pravanika | Search | 25 Nov 22,2023-02-10,19031976471,2000.00,2,42,INR,96.62,4.76%,48.31,0.00
SBR Pravanika | Search | 25 Nov 22,2023-02-11,19031976471,2000.00,8,78,INR,390.98,10.26%,48.87,0.00
SBR Pravanika | Search | 25 Nov 22,2023-02-12,19031976471,2000.00,8,87,INR,354.24,9.20%,44.28,1.00
SBR Pravanika | Search | 25 Nov 22,2023-02-13,19031976471,2000.00,10,68,INR,472.44,14.71%,47.24,1.00
SBR Pravanika | Search | 25 Nov 22,2023-02-14,19031976471,2000.00,10,51,INR,486.98,19.61%,48.70,0.00
Cedar-String-Search-Leads-Feb23,2023-02-14,19686960208,5000.00,61,"1,294",INR,4083.87,4.71%,66.95,3.00
SBR Pravanika | Search | 25 Nov 22,2023-02-15,19031976471,2000.00,5,54,INR,234.91,9.26%,46.98,0.00
Cedar-String-Search-Leads-Feb23,2023-02-15,19686960208,5000.00,101,"2,550",INR,5157.80,3.96%,51.07,0.00
SBR Pravanika | Search | 25 Nov 22,2023-02-16,19031976471,2000.00,4,52,INR,193.00,7.69%,48.25,0.00
Cedar-String-Search-Leads-Feb23,2023-02-16,19686960208,5000.00,112,"2,399",INR,5045.90,4.67%,45.05,1.00
SBR Pravanika | Search | 25 Nov 22,2023-02-17,19031976471,2000.00,6,50,INR,278.26,12.00%,46.38,0.00
Cedar-String-Search-Leads-Feb23,2023-02-17,19686960208,5000.00,210,"14,940",INR,4786.31,1.41%,22.79,3.00
SBR Pravanika | Search | 25 Nov 22,2023-02-18,19031976471,2000.00,9,79,INR,439.07,11.39%,48.79,0.00
Cedar-String-Search-Leads-Feb23,2023-02-18,19686960208,5000.00,356,"34,252",INR,5341.98,1.04%,15.01,9.00
SBR Pravanika | Search | 25 Nov 22,2023-02-19,19031976471,2000.00,9,90,INR,419.15,10.00%,46.57,1.00
Cedar-String-Search-Leads-Feb23,2023-02-19,19686960208,5000.00,272,"24,681",INR,5430.04,1.10%,19.96,2.00
SBR Pravanika | Search | 25 Nov 22,2023-02-20,19031976471,2000.00,5,69,INR,239.27,7.25%,47.85,0.00
Cedar-String-Search-Leads-Feb23,2023-02-20,19686960208,5000.00,183,"20,566",INR,3275.83,0.89%,17.90,9.00
SBR Pravanika | Search | 25 Nov 22,2023-02-21,19031976471,2000.00,7,60,INR,256.05,11.67%,36.58,0.00
Cedar-String-Search-Leads-Feb23,2023-02-21,19686960208,5000.00,179,"24,624",INR,2964.71,0.73%,16.56,2.00
SBR Pravanika | Search | 25 Nov 22,2023-02-22,19031976471,2000.00,3,39,INR,147.93,7.69%,49.31,0.00
Cedar-String-Search-Leads-Feb23,2023-02-22,19686960208,5000.00,161,"17,078",INR,4005.80,0.94%,24.88,10.00
SBR Pravanika | Search | 25 Nov 22,2023-02-23,19031976471,2000.00,7,44,INR,341.88,15.91%,48.84,1.00
Cedar-String-Search-Leads-Feb23,2023-02-23,19686960208,5000.00,212,"29,026",INR,5430.47,0.73%,25.62,5.00
SBR Pravanika | Search | 25 Nov 22,2023-02-24,19031976471,2000.00,10,41,INR,472.05,24.39%,47.21,1.00
Cedar-String-Search-Leads-Feb23,2023-02-24,19686960208,5000.00,172,"18,061",INR,9637.39,0.95%,56.03,2.00
SBR Pravanika | Search | 25 Nov 22,2023-02-25,19031976471,2000.00,11,78,INR,489.66,14.10%,44.51,0.00
Cedar-String-Search-Leads-Feb23,2023-02-25,19686960208,5000.00,154,"18,631",INR,5724.62,0.83%,37.17,0.00
SBR Pravanika | Search | 25 Nov 22,2023-02-26,19031976471,2000.00,13,97,INR,597.65,13.40%,45.97,2.00
Cedar-String-Search-Leads-Feb23,2023-02-26,19686960208,5000.00,151,"14,201",INR,5226.14,1.06%,34.61,0.00
SBR Pravanika | Search | 25 Nov 22,2023-02-27,19031976471,2000.00,15,66,INR,680.87,22.73%,45.39,0.00
Cedar-String-Search-Leads-Feb23,2023-02-27,19686960208,5000.00,233,"31,023",INR,4791.55,0.75%,20.56,3.00
SBR Pravanika | Search | 25 Nov 22,2023-02-28,19031976471,2000.00,10,53,INR,447.05,18.87%,44.71,1.00
